"","Date","Opponent","Location","Team_Score","Opp_Score","Decision"
"1","3/1/2019","Mount Vernon Nazarene (Ohio) *","N","3","5","L"
"2","3/1/2019","Mount Vernon Nazarene (Ohio) *","N","1","12","L"
"3","3/4/2019","Mount Vernon Nazarene (Ohio) *","N","11","1","W"
"4","3/18/2019","Huntington (Ind.) *","A","5","6","L"
"5","3/19/2019","Huntington (Ind.) *","A","0","8","L"
"6","3/19/2019","Huntington (Ind.) *","A","4","6","L"
"7","3/23/2019","Grace (Ind.) *","H","4","2","W"
"8","3/25/2019","Grace (Ind.) *","H","11","1","W"
"9","3/25/2019","Grace (Ind.) *","H","7","6","W"
"10","3/28/2019","Indiana Wesleyan *","H","3","1","W"
"11","4/2/2019","Indiana Wesleyan *","H","3","5","L"
"12","4/2/2019","Indiana Wesleyan *","H","17","6","W"
"13","4/5/2019","Taylor (Ind.) *","A","2","4","L"
"14","4/6/2019","Taylor (Ind.) *","A","4","16","L"
"15","4/6/2019","Taylor (Ind.) *","A","6","3","W"
"16","4/9/2019","Goshen (Ind.) *","H","9","5","W"
"17","4/12/2019","St. Francis (Ind.) *","A","12","8","W"
"18","4/13/2019","St. Francis (Ind.) *","A","8","5","W"
"19","4/13/2019","St. Francis (Ind.) *","A","1","7","L"
"20","4/16/2019","Goshen (Ind.) *","H","11","5","W"
"21","4/16/2019","Goshen (Ind.) *","H","5","7","L"
"22","4/22/2019","Bethel (Ind.) *","H","10","1","W"
"23","4/22/2019","Bethel (Ind.) *","H","6","7","L"
"24","4/23/2019","Bethel (Ind.) *","H","1","5","L"
"25","4/26/2019","Marian (Ind.) *","A","0","3","L"
"26","4/27/2019","Marian (Ind.) *","A","2","1","W"
"27","4/27/2019","Marian (Ind.) *","A","3","6","L"
